,PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG
1282,1915,Evan Eschmeyer,1999,2,5,34,Draft,1610612751,New Jersey,Nets,NJN,Northwestern,College/University,1
1283,1916,Calvin Booth,1999,2,6,35,Draft,1610612764,Washington,Wizards,WAS,Penn State,College/University,1
1284,1917,Wang Zhi-zhi,1999,2,7,36,Draft,1610612742,Dallas,Mavericks,DAL,Bayi Rockets (China),Other Team/Club,1
1285,1918,Obinna Ekezie,1999,2,8,37,Draft,1610612763,Vancouver,Grizzlies,VAN,Maryland,College/University,1
1286,1919,Laron Profit,1999,2,9,38,Draft,1610612753,Orlando,Magic,ORL,Maryland,College/University,1
1287,1920,A.J. Bramlett,1999,2,10,39,Draft,1610612739,Cleveland,Cavaliers,CLE,Arizona,College/University,1
1288,1921,Gordan Giricek,1999,2,11,40,Draft,1610612742,Dallas,Mavericks,DAL,KK Cibona (Croatia),Other Team/Club,1
1289,1922,Francisco Elson,1999,2,12,41,Draft,1610612743,Denver,Nuggets,DEN,California,College/University,1
1290,1923,Louis Bullock,1999,2,13,42,Draft,1610612750,Minnesota,Timberwolves,MIN,Michigan,College/University,0
1291,1924,Lee Nailon,1999,2,14,43,Draft,1610612766,Charlotte,Hornets,CHH,Texas Christian,College/University,1
1292,1925,Tyrone Washington,1999,2,15,44,Draft,1610612745,Houston,Rockets,HOU,Mississippi State,College/University,0
1293,1926,Ryan Robertson,1999,2,16,45,Draft,1610612758,Sacramento,Kings,SAC,Kansas,College/University,1
1294,1927,J.R. Koch,1999,2,17,46,Draft,1610612752,New York,Knicks,NYK,Iowa,College/University,0
1295,1928,Todd MacCulloch,1999,2,18,47,Draft,1610612755,Philadelphia,76ers,PHI,Washington,College/University,1
1296,1929,Galen Young,1999,2,19,48,Draft,1610612749,Milwaukee,Bucks,MIL,North Carolina-Charlotte,College/University,1
1297,1930,Lari Ketner,1999,2,20,49,Draft,1610612741,Chicago,Bulls,CHI,Massachusetts,College/University,1
1298,1931,Venson Hamilton,1999,2,21,50,Draft,1610612745,Houston,Rockets,HOU,Nebraska,College/University,0
1299,1932,Antwain Smith,1999,2,22,51,Draft,1610612763,Vancouver,Grizzlies,VAN,Saint Paul's,College/University,0
1300,1933,Roberto Bergersen,1999,2,23,52,Draft,1610612757,Portland,Trail Blazers,POR,Boise State,College/University,0
1301,1934,Rodney Buford,1999,2,24,53,Draft,1610612748,Miami,Heat,MIA,Creighton,College/University,1
1302,1935,Melvin Levett,1999,2,25,54,Draft,1610612765,Detroit,Pistons,DET,Cincinnati,College/University,0
1303,1936,Kris Clack,1999,2,26,55,Draft,1610612738,Boston,Celtics,BOS,Texas,College/University,0
1304,1937,Tim Young,1999,2,27,56,Draft,1610612744,Golden State,Warriors,GSW,Stanford,College/University,1
1305,1938,Manu Ginobili,1999,2,28,57,Draft,1610612759,San Antonio,Spurs,SAS,Viola Reggio Calabria (Italy),Other Team/Club,1
1306,1939,Eddie Lucas,1999,2,29,58,Draft,1610612762,Utah,Jazz,UTA,Virginia Tech,College/University,0
1307,1709,Michael Olowokandi,1998,1,1,1,Draft,1610612746,Los Angeles,Clippers,LAC,Pacific,College/University,1
1308,1710,Mike Bibby,1998,1,2,2,Draft,1610612763,Vancouver,Grizzlies,VAN,Arizona,College/University,1
1309,1711,Raef LaFrentz,1998,1,3,3,Draft,1610612743,Denver,Nuggets,DEN,Kansas,College/University,1
1310,1712,Antawn Jamison,1998,1,4,4,Draft,1610612761,Toronto,Raptors,TOR,North Carolina,College/University,1
1311,1713,Vince Carter,1998,1,5,5,Draft,1610612744,Golden State,Warriors,GSW,North Carolina,College/University,1
1312,1714,Robert Traylor,1998,1,6,6,Draft,1610612742,Dallas,Mavericks,DAL,Michigan,College/University,1
1313,1715,Jason Williams,1998,1,7,7,Draft,1610612758,Sacramento,Kings,SAC,Florida,College/University,1
1314,1716,Larry Hughes,1998,1,8,8,Draft,1610612755,Philadelphia,76ers,PHI,Saint Louis,College/University,1
1315,1717,Dirk Nowitzki,1998,1,9,9,Draft,1610612749,Milwaukee,Bucks,MIL,DJK Wurzburg (Germany),Other Team/Club,1
1316,1718,Paul Pierce,1998,1,10,10,Draft,1610612738,Boston,Celtics,BOS,Kansas,College/University,1
1317,1719,Bonzi Wells,1998,1,11,11,Draft,1610612765,Detroit,Pistons,DET,Ball State,College/University,1
1318,1720,Michael Doleac,1998,1,12,12,Draft,1610612753,Orlando,Magic,ORL,Utah,College/University,1
1319,1721,Keon Clark,1998,1,13,13,Draft,1610612753,Orlando,Magic,ORL,Nevada-Las Vegas,College/University,1
1320,1722,Michael Dickerson,1998,1,14,14,Draft,1610612745,Houston,Rockets,HOU,Arizona,College/University,1
1321,1723,Matt Harpring,1998,1,15,15,Draft,1610612753,Orlando,Magic,ORL,Georgia Tech,College/University,1
1322,1724,Bryce Drew,1998,1,16,16,Draft,1610612745,Houston,Rockets,HOU,Valparaiso,College/University,1
1323,1725,Rasho Nesterovic,1998,1,17,17,Draft,1610612750,Minnesota,Timberwolves,MIN,Virtus Pallacanestro Bologna (Italy),Other Team/Club,1
1324,1726,Mirsad Turkcan,1998,1,18,18,Draft,1610612745,Houston,Rockets,HOU,Anadolu Efes S.K. (Turkey),Other Team/Club,1
1325,1727,Pat Garrity,1998,1,19,19,Draft,1610612749,Milwaukee,Bucks,MIL,Notre Dame,College/University,1
1326,1728,Roshown McLeod,1998,1,20,20,Draft,1610612737,Atlanta,Hawks,ATL,Duke,College/University,1
