201563,1989-01-09T00:00:00
201564,1987-11-05T00:00:00
201566,1988-11-12T00:00:00
201567,1988-09-07T00:00:00
201568,1988-08-08T00:00:00
201569,1988-12-25T00:00:00
201570,1986-12-26T00:00:00
201571,1987-11-10T00:00:00
201572,1988-04-01T00:00:00
201573,1988-08-20T00:00:00
201574,1986-07-21T00:00:00
201575,1985-07-07T00:00:00
201576,1989-07-15T00:00:00
201141,1988-01-22T00:00:00
201142,1988-09-29T00:00:00
201143,1986-06-03T00:00:00
201144,1987-10-11T00:00:00
201145,1986-08-28T00:00:00
201146,1987-10-27T00:00:00
201147,1986-03-05T00:00:00
201148,1987-10-05T00:00:00
201149,1985-02-25T00:00:00
201150,1988-04-28T00:00:00
201151,1985-01-25T00:00:00
201152,1988-06-21T00:00:00
201153,1987-05-20T00:00:00
201154,1983-12-07T00:00:00
200745,1985-10-26T00:00:00
200746,1985-07-19T00:00:00
200747,1984-07-19T00:00:00
200748,1986-08-17T00:00:00
200749,1983-10-21T00:00:00
200750,1984-07-23T00:00:00
200751,1983-09-24T00:00:00
200752,1986-08-17T00:00:00
200753,1986-06-20T00:00:00
200754,1986-05-12T00:00:00
200755,1984-06-24T00:00:00
200756,1984-11-23T00:00:00
200757,1984-05-02T00:00:00
200758,1985-03-20T00:00:00
101106,1984-11-28T00:00:00
101107,1986-06-19T00:00:00
101114,1984-06-26T00:00:00
101108,1985-05-06T00:00:00
101109,1984-06-26T00:00:00
101110,1986-12-04T00:00:00
101111,1984-08-24T00:00:00
101112,1983-05-17T00:00:00
101113,1983-09-11T00:00:00
101115,1987-10-27T00:00:00
101116,1983-05-01T00:00:00
101117,1987-05-07T00:00:00
101118,1984-04-04T00:00:00
101119,1984-09-25T00:00:00
2730,1985-12-08T00:00:00
2731,1982-09-28T00:00:00
2732,1983-04-04T00:00:00
2733,1985-09-11T00:00:00
2734,1983-02-27T00:00:00
2735,1983-06-20T00:00:00
2736,1985-04-16T00:00:00
2737,1980-08-12T00:00:00
2738,1984-01-28T00:00:00
2739,1981-11-06T00:00:00
2740,1986-04-02T00:00:00
2741,1985-12-03T00:00:00
2742,1985-06-09T00:00:00
2743,1985-02-06T00:00:00
2544,1984-12-30T00:00:00
2545,1985-06-20T00:00:00
2546,1984-05-29T00:00:00
2547,1984-03-24T00:00:00
2548,1982-01-17T00:00:00
2549,1982-04-28T00:00:00
2550,1981-01-02T00:00:00
2551,1983-03-24T00:00:00
2552,1982-10-25T00:00:00
2553,1981-08-09T00:00:00
2554,1982-02-07T00:00:00
2555,1980-10-26T00:00:00
2556,1981-11-19T00:00:00
2557,1981-02-13T00:00:00
2397,1980-09-12T00:00:00
2398,1981-09-10T00:00:00
2399,1980-09-15T00:00:00
2400,1981-09-24T00:00:00
2401,1983-04-14T00:00:00
2402,1983-02-04T00:00:00
2403,1982-09-13T00:00:00
2404,1982-09-03T00:00:00
2405,1982-11-16T00:00:00
2406,1980-03-13T00:00:00
2407,1981-11-25T00:00:00
2408,1978-05-02T00:00:00
2409,1980-12-22T00:00:00
2410,1979-03-11T00:00:00
2198,1982-03-10T00:00:00
2199,1982-10-02T00:00:00
2200,1980-07-06T00:00:00
2201,1982-12-05T00:00:00
2202,1981-01-20T00:00:00
2203,1978-09-09T00:00:00
2204,1982-05-30T00:00:00
2205,1982-01-30T00:00:00
2206,1980-06-28T00:00:00
2207,1981-06-29T00:00:00
2208,1981-03-18T00:00:00
2209,1980-11-19T00:00:00
2210,1980-06-21T00:00:00
2211,1980-05-02T00:00:00
2030,1977-12-30T00:00:00
2031,1979-11-21T00:00:00
2032,1981-10-09T00:00:00
2033,1978-08-10T00:00:00
2034,1980-02-19T00:00:00
2035,1980-05-05T00:00:00
2036,1979-07-16T00:00:00
2037,1980-03-20T00:00:00
2038,1979-10-10T00:00:00
2039,1980-05-08T00:00:00
2040,1978-06-15T00:00:00
2041,1978-04-01T00:00:00
2042,1977-04-27T00:00:00
2043,1977-09-07T00:00:00
1882,1979-03-11T00:00:00
1883,1977-02-21T00:00:00
1884,1979-04-13T00:00:00
1885,1979-11-06T00:00:00
1886,1981-01-30T00:00:00
1887,1977-03-05T00:00:00
1888,1978-02-14T00:00:00
1889,1976-03-19T00:00:00
1890,1978-05-07T00:00:00
1891,1977-09-15T00:00:00
1892,1976-05-13T00:00:00
1893,1976-08-08T00:00:00
